date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:28	75382/75382	---M-Z	200	added ('OK')	text/html	etag:%2212676-5e8c94111cf65-gzip%22	https://shreethemes.in/doctris/layouts/admin/index.html	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/admin/index.html	(from )
22:45:29	277/277	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202024%2016:45:28%20GMT	https://shreethemes.in/robots.txt		(from )
22:45:29	2937/2937	---M-Z	200	added ('OK')	text/css	etag:%22b79-5e8c94116e04a-gzip%22	https://shreethemes.in/doctris/layouts/assets/libs/simplebar/simplebar.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/simplebar/simplebar.min.css	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:29	255701/255701	---M-Z	200	added ('OK')	text/css	etag:%223e6d5-5e8c94111fe45-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/bootstrap.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/bootstrap.min.css	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:29	269169/269169	---M-Z	200	added ('OK')	text/css	etag:%2241b71-5e8c941121d85-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/icons.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/icons.min.css	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:29	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-5e8c9411559a9-gzip%22	https://shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/remixicon/fonts/remixicon.css	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:30	66419/66419	---M-Z	200	added ('OK')	text/css	etag:%2210373-5e8c94112c966-gzip%22	https://shreethemes.in/doctris/layouts/assets/libs/@iconscout/unicons/css/line.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/libs/@iconscout/unicons/css/line.css	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:30	52281/52281	---M-Z	200	added ('OK')	text/css	etag:%22cc39-5e8c941122d25-gzip%22	https://shreethemes.in/doctris/layouts/assets/css/style.min.css	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/css/style.min.css	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:30	3289/3289	---M--	200	added ('OK')	image/png	etag:%22cd9-5e47287cdb93d%22	https://shreethemes.in/doctris/layouts/assets/images/logo-dark.png	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/logo-dark.png	(from https://shreethemes.in/doctris/layouts/admin/index.html)
22:45:30	3207/3207	---M--	200	added ('OK')	image/png	etag:%22c87-5e47287cdb93d%22	https://shreethemes.in/doctris/layouts/assets/images/logo-light.png	F:/LARAVEL%20PROJECT/Admin%20Template/doctris-admin-panel/shreethemes.in/doctris/layouts/assets/images/logo-light.png	(from https://shreethemes.in/doctris/layouts/admin/index.html)
